状态编号,U1[US],U2[US],U3[US],U4[US],C1[C0],C2[C0],C3[C0],C4[C0],U1*C1,U1*U3,U2*C2,U3*C3,U4*C4,U2*C4,C2*C3,U1*U4,U2*C1,D1中国经济福利与市场准入,D2中国战略自主与体系韧性,D3中国国内政治合法性,D4中国冲突升级与风险控制,D5中国谈判杠杆与达约收益
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.475,0.48,0.39,0.45
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.49,0.51,0.58,0.56
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.51,0.515,0.59,0.58
5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.405,0.485,0.495,0.48,0.53
6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.5,0.525,0.67,0.64
7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.53,0.54,0.665,0.68
8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.455,0.505,0.52,0.555,0.63
9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.52,0.55,0.745,0.74
10,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.255,0.645,0.645,0.23,0.48
11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.48,0.59,0.6,0.49,0.61
12,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.285,0.655,0.66,0.32,0.56
13,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.51,0.6,0.615,0.58,0.69
14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.63,0.63,0.575,0.73
15,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.335,0.675,0.685,0.395,0.66
16,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.56,0.62,0.64,0.655,0.79
17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.58,0.45,0.44,0.55,0.58
18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.465,0.335,0.32,0.425,0.485
19,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.665,0.425,0.44,0.66,0.685
20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.61,0.46,0.455,0.64,0.66
21,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.495,0.345,0.335,0.515,0.565
