状态编号,U1[US],U2[US],U3[US],U4[US],C1[C0],C2[C0],C3[C0],C4[C0],U1*C1,U1*U3,U2*C2,U3*C3,U4*C4,U2*C4,C2*C3,U1*U4,U2*C1,U4*C1,D1美国经济福利与企业成本,D2美国结构性议题施压收益,D3美国国内政治支持,D4美国政策可信度与冲突控制,D5美国谈判控制与达约收益
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.6,0.56,0.45,0.54
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.47,0.515,0.56,0.54
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0.45,0.53,0.575,0.58
5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.445,0.55,0.59,0.525,0.62
6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585,0.42,0.545,0.635,0.62
7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0.49,0.58,0.655,0.68
8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.495,0.59,0.64,0.605,0.72
9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635,0.46,0.595,0.715,0.72
10,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.27,0.565,0.54,0.32,0.45
11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.51,0.385,0.46,0.54,0.52
12,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0.295,0.515,0.57,0.395,0.53
13,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.535,0.335,0.49,0.615,0.6
14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.485,0.43,0.54,0.595,0.63
15,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0.345,0.555,0.62,0.475,0.63
16,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.585,0.375,0.54,0.695,0.7
17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0.59,0.57,0.54,0.59
18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.74,0.67,0.475,0.665
19,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.675,0.55,0.61,0.64,0.68
20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.54,0.6,0.615,0.67
21,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.535,0.69,0.7,0.55,0.745
22,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.7,0.5,0.64,0.715,0.76
23,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.58,0.65,0.695,0.77
24,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.585,0.73,0.75,0.63,0.845
25,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0.54,0.69,0.795,0.86
