actor,from_state_id,to_state_id,changed_options,irreversible_commitment_edge,rationale
CN,2,10,C1,0,CN retaliates against US tariff pressure
CN,3,19,C2,0,CN replaces retaliation with concessions under talks or easing
CN,3,35,C3,0,CN opens or maintains formal negotiation channel
CN,3,51,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,4,20,C2,0,CN replaces retaliation with concessions under talks or easing
CN,4,36,C3,0,CN opens or maintains formal negotiation channel
CN,4,52,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,5,12,C1,0,CN retaliates against US tariff pressure
CN,5,21,C2,0,CN replaces retaliation with concessions under talks or easing
CN,5,28,C1|C2,0,CN retaliates against US tariff pressure
CN,5,37,C3,0,CN opens or maintains formal negotiation channel
CN,5,44,C1|C3,0,CN retaliates against US tariff pressure
CN,5,53,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,5,60,C1|C2|C3,0,CN retaliates against US tariff pressure
CN,6,22,C2,0,CN replaces retaliation with concessions under talks or easing
CN,6,38,C3,0,CN opens or maintains formal negotiation channel
CN,6,54,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,7,23,C2,0,CN replaces retaliation with concessions under talks or easing
CN,7,39,C3,0,CN opens or maintains formal negotiation channel
CN,7,55,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,8,15,C1,0,CN retaliates against US tariff pressure
CN,8,24,C2,0,CN replaces retaliation with concessions under talks or easing
CN,8,31,C1|C2,0,CN retaliates against US tariff pressure
CN,8,40,C3,0,CN opens or maintains formal negotiation channel
CN,8,47,C1|C3,0,CN retaliates against US tariff pressure
CN,8,56,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,8,63,C1|C2|C3,0,CN retaliates against US tariff pressure
CN,9,25,C2,0,CN replaces retaliation with concessions under talks or easing
CN,9,41,C3,0,CN opens or maintains formal negotiation channel
CN,9,57,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,11,19,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,11,27,C2,0,CN replaces retaliation with concessions under talks or easing
CN,11,35,C1|C3,0,CN replaces retaliation with concessions under talks or easing
CN,11,43,C3,0,CN opens or maintains formal negotiation channel
CN,11,51,C1|C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,11,59,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,12,21,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,12,28,C2,0,CN replaces retaliation with concessions under talks or easing
CN,12,44,C3,0,CN opens or maintains formal negotiation channel
CN,12,53,C1|C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,12,60,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,13,22,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,13,29,C2,0,CN replaces retaliation with concessions under talks or easing
CN,13,38,C1|C3,0,CN replaces retaliation with concessions under talks or easing
CN,13,45,C3,0,CN opens or maintains formal negotiation channel
CN,13,54,C1|C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,13,61,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,14,23,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,14,30,C2,0,CN replaces retaliation with concessions under talks or easing
CN,14,46,C3,0,CN opens or maintains formal negotiation channel
CN,14,55,C1|C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,14,62,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,15,24,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,15,31,C2,0,CN replaces retaliation with concessions under talks or easing
CN,15,47,C3,0,CN opens or maintains formal negotiation channel
CN,15,56,C1|C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,15,63,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,16,25,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,16,32,C2,0,CN replaces retaliation with concessions under talks or easing
CN,16,41,C1|C3,0,CN replaces retaliation with concessions under talks or easing
CN,16,48,C3,0,CN opens or maintains formal negotiation channel
CN,16,57,C1|C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,16,64,C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,18,10,C1|C2,0,CN retaliates against US tariff pressure
CN,18,26,C1,0,CN retaliates against US tariff pressure
CN,19,35,C2|C3,0,CN withdraws economic concession while talks continue
CN,19,51,C3,0,CN opens or maintains formal negotiation channel
CN,20,36,C2|C3,0,CN withdraws economic concession while talks continue
CN,20,52,C3,0,CN opens or maintains formal negotiation channel
CN,21,12,C1|C2,0,CN retaliates against US tariff pressure
CN,21,28,C1,0,CN retaliates against US tariff pressure
CN,21,37,C2|C3,0,CN withdraws economic concession while talks continue
CN,21,44,C1|C2|C3,0,CN retaliates against US tariff pressure
CN,21,53,C3,0,CN opens or maintains formal negotiation channel
CN,21,60,C1|C3,0,CN retaliates against US tariff pressure
CN,22,38,C2|C3,0,CN withdraws economic concession while talks continue
CN,22,54,C3,0,CN opens or maintains formal negotiation channel
CN,23,39,C2|C3,0,CN withdraws economic concession while talks continue
CN,23,55,C3,0,CN opens or maintains formal negotiation channel
CN,24,15,C1|C2,0,CN retaliates against US tariff pressure
CN,24,31,C1,0,CN retaliates against US tariff pressure
CN,24,40,C2|C3,0,CN withdraws economic concession while talks continue
CN,24,47,C1|C2|C3,0,CN retaliates against US tariff pressure
CN,24,56,C3,0,CN opens or maintains formal negotiation channel
CN,24,63,C1|C3,0,CN retaliates against US tariff pressure
CN,25,41,C2|C3,0,CN withdraws economic concession while talks continue
CN,25,57,C3,0,CN opens or maintains formal negotiation channel
CN,26,10,C2,0,CN withdraws economic concession while talks continue
CN,26,18,C1,0,CN replaces retaliation with concessions under talks or easing
CN,27,19,C1,0,CN replaces retaliation with concessions under talks or easing
CN,27,35,C1|C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,27,43,C2|C3,0,CN withdraws economic concession while talks continue
CN,27,51,C1|C3,0,CN replaces retaliation with concessions under talks or easing
CN,27,59,C3,0,CN opens or maintains formal negotiation channel
CN,28,12,C2,0,CN withdraws economic concession while talks continue
CN,28,21,C1,0,CN replaces retaliation with concessions under talks or easing
CN,28,44,C2|C3,0,CN withdraws economic concession while talks continue
CN,28,53,C1|C3,0,CN replaces retaliation with concessions under talks or easing
CN,28,60,C3,0,CN opens or maintains formal negotiation channel
CN,29,22,C1,0,CN replaces retaliation with concessions under talks or easing
CN,29,38,C1|C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,29,45,C2|C3,0,CN withdraws economic concession while talks continue
CN,29,54,C1|C3,0,CN replaces retaliation with concessions under talks or easing
CN,29,61,C3,0,CN opens or maintains formal negotiation channel
CN,30,23,C1,0,CN replaces retaliation with concessions under talks or easing
CN,30,46,C2|C3,0,CN withdraws economic concession while talks continue
CN,30,55,C1|C3,0,CN replaces retaliation with concessions under talks or easing
CN,30,62,C3,0,CN opens or maintains formal negotiation channel
CN,31,15,C2,0,CN withdraws economic concession while talks continue
CN,31,24,C1,0,CN replaces retaliation with concessions under talks or easing
CN,31,47,C2|C3,0,CN withdraws economic concession while talks continue
CN,31,56,C1|C3,0,CN replaces retaliation with concessions under talks or easing
CN,31,63,C3,0,CN opens or maintains formal negotiation channel
CN,32,25,C1,0,CN replaces retaliation with concessions under talks or easing
CN,32,41,C1|C2|C3,0,CN replaces retaliation with concessions under talks or easing
CN,32,48,C2|C3,0,CN withdraws economic concession while talks continue
CN,32,57,C1|C3,0,CN replaces retaliation with concessions under talks or easing
CN,32,64,C3,0,CN opens or maintains formal negotiation channel
CN,33,1,C3,0,CN hardens position after negotiation breakdown
CN,34,2,C3,0,CN hardens position after negotiation breakdown
CN,34,10,C1|C3,0,CN retaliates against US tariff pressure
CN,34,42,C1,0,CN retaliates against US tariff pressure
CN,35,3,C3,0,CN hardens position after negotiation breakdown
CN,35,51,C2,0,CN replaces retaliation with concessions under talks or easing
CN,36,4,C3,0,CN hardens position after negotiation breakdown
CN,36,52,C2,0,CN replaces retaliation with concessions under talks or easing
CN,37,5,C3,0,CN hardens position after negotiation breakdown
CN,37,12,C1|C3,0,CN retaliates against US tariff pressure
CN,37,44,C1,0,CN retaliates against US tariff pressure
CN,37,53,C2,0,CN replaces retaliation with concessions under talks or easing
CN,37,60,C1|C2,0,CN retaliates against US tariff pressure
CN,38,6,C3,0,CN hardens position after negotiation breakdown
CN,38,54,C2,0,CN replaces retaliation with concessions under talks or easing
CN,39,7,C3,0,CN hardens position after negotiation breakdown
CN,39,55,C2,0,CN replaces retaliation with concessions under talks or easing
CN,40,8,C3,0,CN hardens position after negotiation breakdown
CN,40,15,C1|C3,0,CN retaliates against US tariff pressure
CN,40,47,C1,0,CN retaliates against US tariff pressure
CN,40,56,C2,0,CN replaces retaliation with concessions under talks or easing
CN,40,63,C1|C2,0,CN retaliates against US tariff pressure
CN,41,9,C3,0,CN hardens position after negotiation breakdown
CN,41,57,C2,0,CN replaces retaliation with concessions under talks or easing
CN,42,10,C3,0,CN hardens position after negotiation breakdown
CN,43,35,C1,0,CN replaces retaliation with concessions under talks or easing
CN,43,51,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,43,59,C2,0,CN replaces retaliation with concessions under talks or easing
CN,44,12,C3,0,CN hardens position after negotiation breakdown
CN,44,53,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,44,60,C2,0,CN replaces retaliation with concessions under talks or easing
CN,45,38,C1,0,CN replaces retaliation with concessions under talks or easing
CN,45,54,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,45,61,C2,0,CN replaces retaliation with concessions under talks or easing
CN,46,55,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,46,62,C2,0,CN replaces retaliation with concessions under talks or easing
CN,47,15,C3,0,CN hardens position after negotiation breakdown
CN,47,56,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,47,63,C2,0,CN replaces retaliation with concessions under talks or easing
CN,48,41,C1,0,CN replaces retaliation with concessions under talks or easing
CN,48,57,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,48,64,C2,0,CN replaces retaliation with concessions under talks or easing
CN,49,33,C2,0,CN withdraws economic concession while talks continue
