month,start_state_id,observed_state_id,observed_change,transition_probability,transition_mechanism,valid_path_count,log_transition_term,forward_shortfall_penalty,forward_target_state_id,forward_common_gain,cn_stable_any,us_stable_any,cn_best_margin,us_best_margin,cn_primary_seq_margin,us_primary_seq_margin,cn_stability_penalty,us_stability_penalty,seq_stable_both,cn_margins_Nash_GMR_SMR_SEQ,us_margins_Nash_GMR_SMR_SEQ
201702,1,1,0,,stay,,,,,,1.0,0.0,1.0,-1.135489103941501,1.0,-1.135489103941501,0.0,1.2893355051698727,0.0,1|1|1|1,-1.5719029|-1.1354891|-1.6586636|-1.1354891
201703,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.7094661065962087,1.0,-0.9760426657950393,0.0,0.9526592854522867,0.0,1|1|1|1,-0.70946611|-0.97604267|-1.7580815|-0.97604267
201704,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.2177708100244293,1.0,-0.7350131255449665,0.0,0.5402442947233806,0.0,1|1|1|1,-0.21777081|-0.73501313|-1.4722804|-0.73501313
201705,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.1860935480971965,1.0,-0.9773282863787182,0.0,0.9551705793559617,0.0,1|1|1|1,-0.18609355|-0.97732829|-1.4377943|-0.97732829
201706,1,1,0,,stay,,,,,,1.0,1.0,1.0,0.07404058680706352,1.0,0.07404058680706352,0.0,0.0,1.0,1|1|1|1,0.074040587|0.074040587|0.074040587|0.074040587
201707,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.13341659618334226,1.0,-0.8502777147116982,0.0,0.722972192135348,0.0,1|1|1|1,-0.1334166|-0.85027771|-0.85027771|-0.85027771
201708,1,2,1,0.6304341353791163,US,1,-0.4613465931431704,0.0,26,0.8020051676667562,,,,,,,,,,,
201709,2,2,0,,stay,,,,,,1.0,1.0,1.3190869917467292,0.20576364506042796,-0.4430358477896521,-0.7458760014811439,0.1962807624266958,0.5563310095854993,0.0,-0.89910046|1.319087|-0.19330922|-0.44303585,-0.38359344|0.20576365|-0.22442686|-0.745876
201710,2,2,0,,stay,,,,,,1.0,1.0,1.1693170660527492,0.0020843959372782994,-0.38056713444185475,0.0020843959372782994,0.14483134381728474,0.0,0.0,-1.4155434|1.1693171|1.1693171|-0.38056713,0.0020843959|0.0020843959|0.0020843959|0.0020843959
201711,2,2,0,,stay,,,,,,1.0,1.0,1.3798617465202738,0.48371408639718383,-0.17795980259893587,-0.3663946939672992,0.03166969134105222,0.1342450717673908,0.0,-1.0854555|1.3798617|1.3798617|-0.1779598,-0.74612051|0.48371409|-0.15390088|-0.36639469
201712,2,2,0,,stay,,,,,,0.0,1.0,-0.5378540360850244,0.6835415012120941,-0.583175871539476,-0.2792063746524662,0.34009409714582745,0.07795619964657334,0.0,-1.5251189|-0.53785404|-1.0366558|-0.58317587,-0.52836322|0.6835415|-0.47428669|-0.27920637
201801,2,2,0,,stay,,,,,,0.0,1.0,-0.7727751438513812,0.7643743122824798,-0.7727751438513812,0.16479104376284556,0.5971814229545229,0.0,0.0,-1.8854019|-0.77277514|-1.2618546|-0.77277514,-0.82993038|0.76437431|-0.38222535|0.16479104
