month,start_state_id,observed_state_id,observed_change,transition_probability,transition_mechanism,valid_path_count,log_transition_term,forward_shortfall_penalty,forward_target_state_id,forward_common_gain,cn_stable_any,us_stable_any,cn_best_margin,us_best_margin,cn_primary_seq_margin,us_primary_seq_margin,cn_stability_penalty,us_stability_penalty,seq_stable_both,cn_margins_Nash_GMR_SMR_SEQ,us_margins_Nash_GMR_SMR_SEQ
201702,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.9345679802160417,1.0,-1.082726501444934,0.0,1.1722966769311869,0.0,1|1|1|1,-0.93456798|-1.0827265|-1.767323|-1.0827265
201703,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.12983243807593073,1.0,-0.7004993526353276,0.0,0.49069934304251306,0.0,1|1|1|1,-0.12983244|-0.70049935|-1.9170208|-0.70049935
201704,1,1,0,,stay,,,,,,1.0,1.0,1.0,0.3435090883188928,1.0,0.3435090883188928,0.0,0.0,1.0,1|1|1|1,0.34350909|0.34350909|0.34350909|0.34350909
201705,1,1,0,,stay,,,,,,1.0,1.0,1.0,0.1568388080232156,1.0,0.1568388080232156,0.0,0.0,1.0,1|1|1|1,0.15683881|0.15683881|0.15683881|0.15683881
201706,1,1,0,,stay,,,,,,1.0,1.0,1.0,0.5077876943178392,1.0,0.5077876943178392,0.0,0.0,1.0,1|1|1|1,0.50778769|0.50778769|0.50778769|0.50778769
201707,1,1,0,,stay,,,,,,1.0,1.0,1.0,0.5100276431260814,1.0,0.5100276431260814,0.0,0.0,1.0,1|1|1|1,0.51002764|0.51002764|0.51002764|0.51002764
201708,1,2,1,0.49498552575058424,US,1,-0.7032267577488811,0.0,48,0.49294136892808116,,,,,,,,,,,
201709,2,2,0,,stay,,,,,,1.0,1.0,0.34289190721788576,0.3310739795508725,0.34289190721788576,-0.23800025521251492,0.0,0.056644121481222234,0.0,0.34289191|0.34289191|0.34289191|0.34289191,-0.27333498|0.33107398|-0.020839091|-0.23800026
201710,2,2,0,,stay,,,,,,1.0,1.0,0.9233622481351779,0.08146761749011575,0.5778560647408176,0.08146761749011575,0.0,0.0,1.0,-1.6457943|0.92336225|0.92336225|0.57785606,0.081467617|0.081467617|0.081467617|0.081467617
201711,2,2,0,,stay,,,,,,1.0,1.0,1.19914678129576,0.27697995379695983,0.5228252046945968,-0.4616502755423345,0.0,0.2131209769083134,0.0,-1.270365|1.1991468|1.1991468|0.5228252,-0.58020835|0.27697995|-0.0057794709|-0.46165028
201712,2,2,0,,stay,,,,,,1.0,1.0,0.07121395894029195,0.5136086016169527,0.07121395894029195,0.2950592975203562,0.0,0.0,1.0,0.071213959|0.071213959|0.071213959|0.071213959,-0.33911212|0.5136086|-0.16716129|0.2950593
201801,2,2,0,,stay,,,,,,0.0,1.0,-0.899344299614845,0.7276248719078525,-0.899344299614845,0.17356903395456516,0.808820169249716,0.0,0.0,-1.161475|-0.8993443|-1.5886663|-0.8993443,-0.56141052|0.72762487|0.20985814|0.17356903
201802,2,2,0,,stay,,,,,,0.0,1.0,-0.8248217104070155,0.8754050733956594,-0.8248217104070155,0.2684730993558506,0.6803308539587545,0.0,0.0,-1.1098123|-0.82482171|-1.198616|-0.82482171,-0.67848622|0.87540507|-0.14255367|0.2684731
201803,2,44,1,0.32918115121781105,US->CN,1,-1.111147068143425,0.0,48,1.6813524807862572,,,,,,,,,,,
201804,44,44,0,,stay,,,,,,1.0,1.0,1.1439993122962624,1.0765147602082572,1.1439993122962624,-0.23094313125817936,0.0,0.053334729875332665,0.0,1.1439993|1.1439993|1.1439993|1.1439993,-0.10772989|1.0765148|0.71963524|-0.23094313
201805,44,54,1,0.21074321676129987,CN->US|US->CN,2,-1.5571148688041616,0.0,48,1.2881797877729135,,,,,,,,,,,
201806,54,10,1,0.37965453095453827,US->CN,1,-0.9684935688371811,0.0,48,0.8585857693913332,,,,,,,,,,,
201807,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.3110658704707492,1.0,0.2774885729811982,0.0,0.0,1.0,1|1|1|1,-1.375178|0.31106587|0.10299718|0.27748857
201808,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.08482352705588084,1.0,0.08482352705588084,0.0,0.0,1.0,1|1|1|1,0.084823527|0.084823527|0.084823527|0.084823527
201809,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.2360236084076697,1.0,0.2360236084076697,0.0,0.0,1.0,1|1|1|1,0.23602361|0.23602361|0.23602361|0.23602361
201810,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.6083006156162548,1.0,0.6083006156162548,0.0,0.0,1.0,1|1|1|1,0.60830062|0.60830062|0.60830062|0.60830062
201811,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.5403694851593909,1.0,0.5403694851593909,0.0,0.0,1.0,1|1|1|1,0.54036949|0.54036949|0.54036949|0.54036949
201812,10,54,1,0.1227060745224245,US->CN,1,-2.097963421380484,0.0,27,0.5060155999225955,,,,,,,,,,,
201901,54,54,0,,stay,,,,,,1.0,1.0,0.44459816659704954,0.9252059314554145,0.44459816659704954,0.9252059314554145,0.0,0.0,1.0,0.44459817|0.44459817|0.44459817|0.44459817,0.92520593|0.92520593|0.92520593|0.92520593
201902,54,54,0,,stay,,,,,,1.0,1.0,0.5266673305068313,0.2511492224733154,0.5266673305068313,0.2511492224733154,0.0,0.0,1.0,0.52666733|0.52666733|0.52666733|0.52666733,0.25114922|0.25114922|0.25114922|0.25114922
201903,54,54,0,,stay,,,,,,1.0,1.0,0.4287229816185125,0.6529891426366473,0.346313327574465,0.6529891426366473,0.0,0.0,1.0,-0.61425119|0.42872298|-1.0045915|0.34631333,0.65298914|0.65298914|0.65298914|0.65298914
201904,54,54,0,,stay,,,,,,1.0,1.0,0.20037078843263603,0.7333190430878167,0.20037078843263603,0.7333190430878167,0.0,0.0,1.0,0.20037079|0.20037079|0.20037079|0.20037079,0.73331904|0.73331904|0.73331904|0.73331904
201905,54,10,1,0.038267570118421045,US->CN,1,-3.263152474677074,0.0,27,0.9634995628837918,,,,,,,,,,,
201906,10,38,1,0.1733478952149857,US->CN,1,-1.7524547487478013,0.0,6,0.9950778678334691,,,,,,,,,,,
201907,38,38,0,,stay,,,,,,1.0,1.0,0.6635657773415421,0.36769296361741166,0.6635657773415421,-0.44820264595494697,0.0,0.20088561184101553,0.0,0.66356578|0.66356578|0.66356578|0.66356578,-1.0526395|0.36769296|-1.7741084|-0.44820265
201908,38,44,1,0.2672006424072528,US->CN,1,-1.3197554331037762,0.0,59,0.7720087916765481,,,,,,,,,,,
201909,44,54,1,0.3279486408572256,CN->US|US->CN,2,-1.1148982656107134,0.0,3,0.8299754203167808,,,,,,,,,,,
201910,54,57,1,0.728807676411971,US,1,-0.3163454001445888,0.0,15,1.0434092588540476,,,,,,,,,,,
201911,57,57,0,,stay,,,,,,0.0,1.0,-0.7317573742353621,0.7494759007492637,-1.4229585534918503,0.7494759007492637,2.024811044955619,0.0,0.0,-0.73175737|-1.1685226|-2.7839809|-1.4229586,0.7494759|0.7494759|0.7494759|0.7494759
201912,57,73,1,0.9677171022016295,CN,1,-0.0328154842105576,0.46175380877860434,70,-0.6295246932809758,,,,,,,,,,,
202001,73,73,0,,stay,,,,,,1.0,1.0,1.0,1.8683936095024025,1.0,1.8683936095024025,0.0,0.0,1.0,1|1|1|1,1.8683936|1.8683936|1.8683936|1.8683936
