month,start_state_id,observed_state_id,observed_change,transition_probability,transition_mechanism,valid_path_count,log_transition_term,forward_shortfall_penalty,forward_target_state_id,forward_common_gain,cn_stable_any,us_stable_any,cn_best_margin,us_best_margin,cn_primary_seq_margin,us_primary_seq_margin,cn_stability_penalty,us_stability_penalty,seq_stable_both,cn_margins_Nash_GMR_SMR_SEQ,us_margins_Nash_GMR_SMR_SEQ
201702,1,1,0,,stay,,,,,,1.0,1.0,1.0,1.1062048739051884,1.0,0.5954714270258107,0.0,0.0,1.0,1|1|1|1,-0.048889217|1.1062049|0.95377688|0.59547143
201703,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.14788277637016276,1.0,-1.2647023955505956,0.0,1.5994721493114152,0.0,1|1|1|1,-0.14788278|-1.2647024|-1.2647024|-1.2647024
201704,1,1,0,,stay,,,,,,1.0,1.0,1.0,1.1159207226746017,1.0,0.39348961389060444,0.0,0.0,1.0,1|1|1|1,-0.043169177|1.1159207|1.0367957|0.39348961
201705,1,1,0,,stay,,,,,,1.0,1.0,1.0,1.0405062833820964,1.0,0.44907339216302034,0.0,0.0,1.0,1|1|1|1,-0.062962387|1.0405063|1.0405063|0.44907339
201706,1,1,0,,stay,,,,,,1.0,0.0,1.0,-1.4562693035560086,1.0,-2.1328649224452887,0.0,4.549112777397547,0.0,1|1|1|1,-1.4562693|-2.1328649|-2.7751731|-2.1328649
201707,1,1,0,,stay,,,,,,1.0,1.0,1.0,0.18332560357543629,1.0,0.18332560357543629,0.0,0.0,1.0,1|1|1|1,0.1833256|0.1833256|0.1833256|0.1833256
201708,1,2,1,0.31677138446531694,US,1,-1.1495749499356034,0.0,11,0.3658531180701421,,,,,,,,,,,
201709,2,2,0,,stay,,,,,,1.0,1.0,0.28185704880066276,0.2040866667041812,0.28185704880066276,0.2040866667041812,0.0,0.0,1.0,0.28185705|0.28185705|0.28185705|0.28185705,0.20408667|0.20408667|0.20408667|0.20408667
201710,2,2,0,,stay,,,,,,1.0,1.0,0.43512028562230753,0.14726738157108435,0.43512028562230753,0.14726738157108435,0.0,0.0,1.0,0.43512029|0.43512029|0.43512029|0.43512029,0.14726738|0.14726738|0.14726738|0.14726738
201711,2,2,0,,stay,,,,,,1.0,1.0,0.4189100255507616,0.9336856154117229,0.4189100255507616,-0.19427148130230296,0.0,0.037741408447391045,0.0,0.41891003|0.41891003|0.41891003|0.41891003,-0.31766297|0.93368562|0.93368562|-0.19427148
201712,2,2,0,,stay,,,,,,0.0,0.0,-0.4146622291184071,-0.279043736390586,-0.8793210769682936,-0.6389828386955784,0.7732055564006798,0.40829906814745953,0.0,-0.41466223|-0.87932108|-1.5526328|-0.87932108,-0.49618349|-0.27904374|-0.27904374|-0.63898284
201801,2,2,0,,stay,,,,,,0.0,0.0,-0.5271081737800468,-0.5887855620660744,-1.0156415907170073,-0.9554941158248785,1.031527840794173,0.9129690053759664,0.0,-0.52710817|-1.0156416|-1.7165585|-1.0156416,-0.58878556|-0.95549412|-1.6815273|-0.95549412
201802,2,2,0,,stay,,,,,,0.0,1.0,-0.5745940567089421,0.20782076909596683,-1.068194718756102,0.20782076909596683,1.141039957178428,0.0,0.0,-0.57459406|-1.0681947|-1.7716772|-1.0681947,0.20782077|0.20782077|0.20782077|0.20782077
201803,2,44,1,0.6905452645367793,US->CN,1,-0.37027375500574483,0.0,15,1.3281108679424396,,,,,,,,,,,
201804,44,44,0,,stay,,,,,,1.0,0.0,0.7786106072556908,-0.4231911723314472,0.7786106072556908,-0.6961024071166858,0.0,0.4845585611936442,0.0,0.77861061|0.77861061|0.77861061|0.77861061,-0.42319117|-0.69610241|-1.38313|-0.69610241
201805,44,54,1,0.1287977484676769,CN->US|US->CN,2,-2.0495119463056937,0.0,64,1.5076980039132923,,,,,,,,,,,
201806,54,10,1,0.19836968731922897,US->CN,1,-1.6176228814936573,0.0,45,0.41872290484845054,,,,,,,,,,,
201807,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.4394869130743514,1.0,0.4394869130743514,0.0,0.0,1.0,1|1|1|1,0.43948691|0.43948691|0.43948691|0.43948691
201808,10,10,0,,stay,,,,,,1.0,0.0,1.0,-0.6126134233318917,1.0,-1.129806819992369,0.0,1.2764634505012693,0.0,1|1|1|1,-0.61261342|-1.1298068|-1.8079131|-1.1298068
201809,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.31963067023728275,1.0,0.31963067023728275,0.0,0.0,1.0,1|1|1|1,0.31963067|0.31963067|0.31963067|0.31963067
201810,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.2272677953488679,1.0,0.2272677953488679,0.0,0.0,1.0,1|1|1|1,0.2272678|0.2272678|0.2272678|0.2272678
201811,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.15252171247333327,1.0,0.15252171247333327,0.0,0.0,1.0,1|1|1|1,0.15252171|0.15252171|0.15252171|0.15252171
201812,10,54,1,0.1667335993927077,US->CN,1,-1.7913579534900421,0.0,76,3.140229019174401,,,,,,,,,,,
201901,54,54,0,,stay,,,,,,1.0,1.0,0.3260994766411037,0.45711469687357775,0.3260994766411037,0.45711469687357775,0.0,0.0,1.0,0.32609948|0.32609948|0.32609948|0.32609948,0.4571147|0.4571147|0.4571147|0.4571147
201902,54,54,0,,stay,,,,,,1.0,1.0,0.23464619194590777,0.037620417445110105,0.23464619194590777,0.037620417445110105,0.0,0.0,1.0,0.23464619|0.23464619|0.23464619|0.23464619,0.037620417|0.037620417|0.037620417|0.037620417
201903,54,54,0,,stay,,,,,,1.0,1.0,0.09319012269623253,0.413326592935506,0.09319012269623253,-0.2022958793226685,0.0,0.04092362279093165,0.0,0.093190123|0.093190123|0.093190123|0.093190123,-0.54983451|0.41332659|0.33725663|-0.20229588
201904,54,54,0,,stay,,,,,,1.0,1.0,1.8630178803869204,0.6146247450167197,-0.3427010375169237,0.6146247450167197,0.11744400111517596,0.0,0.0,-0.090915023|1.8630179|1.6684319|-0.34270104,0.61462475|0.61462475|0.61462475|0.61462475
201905,54,10,1,0.12336914499139157,US->CN,1,-2.0925742393646085,0.0,41,0.4478370435431669,,,,,,,,,,,
201906,10,38,1,0.08067038712974815,US->CN,1,-2.5173837211139625,0.0025000000000000005,10,0.0,,,,,,,,,,,
201907,38,38,0,,stay,,,,,,1.0,1.0,0.3806593297900889,0.1279339686450928,0.3806593297900889,0.1279339686450928,0.0,0.0,1.0,0.38065933|0.38065933|0.38065933|0.38065933,0.12793397|0.12793397|0.12793397|0.12793397
201908,38,44,1,0.2604025905889173,US->CN,1,-1.3455264201990627,0.0,64,0.14240892285642293,,,,,,,,,,,
201909,44,54,1,0.5076444973541471,CN->US|US->CN,2,-0.6779738847418018,0.0,43,1.0904970275417272,,,,,,,,,,,
201910,54,57,1,0.9147875222002989,US,1,-0.08906345684750307,0.0,76,0.8000396188467302,,,,,,,,,,,
201911,57,57,0,,stay,,,,,,1.0,0.0,0.024604269666166495,-0.4355557130030584,0.024604269666166495,-0.4355557130030584,0.0,0.18970877912960257,0.0,0.02460427|0.02460427|0.02460427|0.02460427,-1.5657201|-0.43555571|-0.43555571|-0.43555571
201912,57,73,1,0.7808274387591085,CN,1,-0.24740110264734833,0.01793157965513319,70,-0.08390884830784406,,,,,,,,,,,
202001,73,73,0,,stay,,,,,,1.0,1.0,1.0,0.10115325235400655,1.0,0.10115325235400655,0.0,0.0,1.0,1|1|1|1,0.10115325|0.10115325|0.10115325|0.10115325
