month,start_state_id,observed_state_id,observed_change,transition_probability,transition_mechanism,valid_path_count,log_transition_term,forward_shortfall_penalty,forward_target_state_id,forward_common_gain,cn_stable_any,us_stable_any,cn_best_margin,us_best_margin,cn_primary_seq_margin,us_primary_seq_margin,cn_stability_penalty,us_stability_penalty,seq_stable_both,cn_margins_Nash_GMR_SMR_SEQ,us_margins_Nash_GMR_SMR_SEQ
201702,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.5173123071458985,1.0,-0.5173123071458985,0.0,0.2676120231246124,0.0,1|1|1|1,-0.6904908|-0.51731231|-1.3935167|-0.51731231
201703,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.016838548165126616,1.0,-0.4812048174965474,0.0,0.23155807638188552,0.0,1|1|1|1,-0.016838548|-0.48120482|-1.5262136|-0.48120482
201704,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.9799862153891991,1.0,-1.4328947997834376,0.0,2.0531875072464176,0.0,1|1|1|1,-0.97998622|-1.4328948|-1.4328948|-1.4328948
201705,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.2360011100826153,1.0,-1.6196003940406631,0.0,2.6231054363766715,0.0,1|1|1|1,-0.23600111|-1.6196004|-1.6196004|-1.6196004
201706,1,1,0,,stay,,,,,,1.0,0.0,1.0,-0.7731977687882106,1.0,-1.3578795791436893,0.0,1.8438369514554427,0.0,1|1|1|1,-0.77319777|-1.3578796|-2.2895916|-1.3578796
201707,1,1,0,,stay,,,,,,1.0,1.0,1.0,0.22503245260979501,1.0,0.22503245260979501,0.0,0.0,1.0,1|1|1|1,0.22503245|0.22503245|0.22503245|0.22503245
201708,1,2,1,0.8134329794015218,US,1,-0.20649174120982064,0.10539336423301358,43,-0.27464344169105526,,,,,,,,,,,
201709,2,2,0,,stay,,,,,,0.0,1.0,-0.08259518480118086,0.17462283161643502,-0.7153305431155396,0.17462283161643502,0.5116977859139729,0.0,0.0,-0.96127012|-0.082595185|-0.70229397|-0.71533054,0.17462283|0.17462283|0.17462283|0.17462283
201710,2,2,0,,stay,,,,,,0.0,1.0,-0.34128831301121454,0.2704909609909957,-0.6545396897019703,0.2704909609909957,0.4284222053951516,0.0,0.0,-2.1975854|-0.34128831|-1.0131386|-0.65453969,0.27049096|0.27049096|0.27049096|0.27049096
201711,2,2,0,,stay,,,,,,1.0,1.0,0.42217624403681564,0.11236853584125765,0.42217624403681564,-0.4408746195271471,0.0,0.19437043014320673,0.0,-1.9915713|0.42217624|0.42217624|0.42217624,-0.69288283|0.11236854|0.11236854|-0.44087462
201712,2,2,0,,stay,,,,,,1.0,0.0,0.017896087499134322,-0.37178649190816526,-0.2209766595465035,-0.37178649190816526,0.04883068406433132,0.13822519556538024,0.0,-1.3208607|0.017896087|-0.58149352|-0.22097666,-0.63189836|-0.37178649|-1.4510775|-0.37178649
201801,2,2,0,,stay,,,,,,0.0,0.0,-0.639623862899335,-0.16817101677827248,-0.639623862899335,-0.16817101677827248,0.40911868599026735,0.028281490884238005,0.0,-1.0209044|-0.63962386|-1.0266089|-0.63962386,-0.62123302|-0.16817102|-1.2284186|-0.16817102
201802,2,2,0,,stay,,,,,,0.0,1.0,-0.47723664065400906,0.20038648325831923,-0.47723664065400906,0.20038648325831923,0.22775481118272378,0.0,0.0,-0.70263749|-0.47723664|-0.60886419|-0.47723664,0.20038648|0.20038648|0.20038648|0.20038648
201803,2,44,1,0.3230816222128534,US->CN,1,-1.1298502873334446,0.0,57,1.549054916237816,,,,,,,,,,,
201804,44,44,0,,stay,,,,,,1.0,0.0,0.4528191050357524,-0.6627253774799164,0.4528191050357524,-0.6627253774799164,0.0,0.4392049259558977,0.0,0.45281911|0.45281911|0.45281911|0.45281911,-0.72150574|-0.66272538|-1.0910126|-0.66272538
201805,44,54,1,0.5407228007322411,CN->US|US->CN,2,-0.6148485145684454,0.0,76,2.7471610991023967,,,,,,,,,,,
201806,54,10,1,0.07504024885750721,US->CN,1,-2.5897306579582806,0.0003244039757843176,48,0.031988781946122646,,,,,,,,,,,
201807,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.21562247325896144,1.0,0.21562247325896144,0.0,0.0,1.0,1|1|1|1,0.21562247|0.21562247|0.21562247|0.21562247
201808,10,10,0,,stay,,,,,,1.0,0.0,1.0,-0.8549586452934126,1.0,-0.8549586452934126,0.0,0.7309542851619473,0.0,1|1|1|1,-1.3460867|-0.85495865|-1.2549777|-0.85495865
201809,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.34777182212287394,1.0,0.34777182212287394,0.0,0.0,1.0,1|1|1|1,0.34777182|0.34777182|0.34777182|0.34777182
201810,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.635334816590036,1.0,0.635334816590036,0.0,0.0,1.0,1|1|1|1,0.63533482|0.63533482|0.63533482|0.63533482
201811,10,10,0,,stay,,,,,,1.0,1.0,1.0,0.36390642243865046,1.0,0.36390642243865046,0.0,0.0,1.0,1|1|1|1,0.36390642|0.36390642|0.36390642|0.36390642
201812,10,54,1,0.3343874685330034,US->CN,1,-1.0954548729564217,0.0,73,2.4128987187495192,,,,,,,,,,,
