index,group,country,domain,driver,parameter,n_total,n_estimated,estimated_fraction,mean,std,q05,median,q95,min,max,positive_fraction,negative_fraction,zero_fraction
0,A,CN,diplomacy,D1,"A[CN,diplomacy,D1]",500,500,1,0.3461071992,1.148943225,0,0.005912961035,4.559590998,0,5,0.606,0,0.394
1,A,CN,diplomacy,D4,"A[CN,diplomacy,D4]",500,500,1,1.14920546,0.6065030478,0.07725678112,1.064273506,2.233314506,0,3.957526188,0.98,0,0.02
2,A,CN,diplomacy,D5,"A[CN,diplomacy,D5]",500,500,1,0.08593359504,0.0936156614,0,0.06006350064,0.2720866446,0,0.5100851751,0.754,0,0.246
3,A,CN,economy,D1,"A[CN,economy,D1]",500,500,1,2.664464643,1.150681387,0.8970623351,2.544959669,4.867915956,0,5,0.982,0,0.018
4,A,CN,economy,D2,"A[CN,economy,D2]",500,500,1,0.733832768,0.8610011858,0,0.4823882068,2.239351401,0,5,0.784,0,0.216
5,A,CN,economy,D3,"A[CN,economy,D3]",500,500,1,0.02087090326,0.05191521238,0,0.003072333634,0.08132157391,0,0.4638852764,0.614,0,0.386
6,A,CN,law,D1,"A[CN,law,D1]",500,500,1,-0.6865259465,1.543827529,-4.787631366,-0.03086467543,0,-5,0,0,0.598,0.402
7,A,CN,law,D2,"A[CN,law,D2]",500,500,1,0.2914200147,0.6125851582,0,0.1061489832,1.04032273,0,5,0.712,0,0.288
8,A,CN,law,D4,"A[CN,law,D4]",500,500,1,2.675969337,1.178505912,0.1089184811,2.602459957,4.771883853,0,5,0.968,0,0.032
9,A,CN,politics,D2,"A[CN,politics,D2]",500,500,1,3.444345766,1.139679473,1.527227543,3.539165564,5,0,5,0.998,0,0.002
10,A,CN,politics,D3,"A[CN,politics,D3]",500,500,1,0.01370057559,0.03280386527,0,0.001544605085,0.06418540297,0,0.351545046,0.612,0,0.388
11,A,CN,security,D1,"A[CN,security,D1]",500,500,1,-3.757297612,1.394248393,-5,-4.233285627,-0.3698067634,-5,0,0,0.978,0.022
12,A,CN,security,D2,"A[CN,security,D2]",500,500,1,0.7522810764,0.8538359212,0,0.4996239237,2.607647358,0,5,0.78,0,0.22
13,A,CN,security,D4,"A[CN,security,D4]",500,500,1,4.013214716,1.331580053,0.8368657461,4.555585616,5,0,5,0.98,0,0.02
14,A,CN,society_humanitarian,D3,"A[CN,society_humanitarian,D3]",500,500,1,0.2868398257,1.052929976,0,0.006645331223,3.768560506,0,5,0.65,0,0.35
15,A,US,diplomacy,D1,"A[US,diplomacy,D1]",500,500,1,0.08263182802,0.1613334076,0,0.01965044281,0.3106672351,0,2.152983035,0.664,0,0.336
16,A,US,diplomacy,D4,"A[US,diplomacy,D4]",500,500,1,0.4955825487,0.7834748285,0,0.04447833815,2.04591453,0,4.776705111,0.662,0,0.338
17,A,US,diplomacy,D5,"A[US,diplomacy,D5]",500,500,1,0.08583803853,0.1447187909,0,0.03565405833,0.3373640331,0,1.272646535,0.706,0,0.294
18,A,US,economy,D1,"A[US,economy,D1]",500,500,1,2.568832598,1.263435558,0.6683108359,2.524456893,4.73788129,0.3027455163,5,1,0,0
19,A,US,economy,D2,"A[US,economy,D2]",500,500,1,0.8088580057,1.104711672,0,0.2726041886,3.239577279,0,4.862711978,0.704,0,0.296
20,A,US,economy,D3,"A[US,economy,D3]",500,500,1,1.357444127,1.362703976,0,0.8948000859,4.211411331,0,5,0.814,0,0.186
21,A,US,law,D1,"A[US,law,D1]",500,500,1,-2.995827581,2.057679721,-5,-4.019509458,0,-5,0,0,0.9,0.1
22,A,US,law,D2,"A[US,law,D2]",500,500,1,1.618037206,1.887743552,0,0.4905987377,5,0,5,0.718,0,0.282
23,A,US,law,D4,"A[US,law,D4]",500,500,1,0.8219417394,0.9792526021,0,0.4115240298,2.936570697,0,5,0.768,0,0.232
24,A,US,politics,D2,"A[US,politics,D2]",500,500,1,1.252706681,1.347228158,0,0.7923864733,4.435208368,0,5,0.808,0,0.192
25,A,US,politics,D3,"A[US,politics,D3]",500,500,1,1.531505142,1.533187217,0,1.089757606,4.834411274,0,5,0.806,0,0.194
26,A,US,security,D1,"A[US,security,D1]",500,500,1,-0.9973862239,1.128516907,-3.11153841,-0.5265846551,0,-5,0,0,0.832,0.168
27,A,US,security,D2,"A[US,security,D2]",500,500,1,1.660896043,1.639062355,0,1.061142516,5,0,5,0.828,0,0.172
28,A,US,security,D4,"A[US,security,D4]",500,500,1,3.796311777,1.076869768,1.710387339,4.049337537,5,0.07104369972,5,1,0,0
29,A,US,society_humanitarian,D3,"A[US,society_humanitarian,D3]",500,500,1,1.575854789,1.57424894,0,1.158100772,4.9947889,0,5,0.786,0,0.214
30,alpha,CN,,,alpha[CN],500,500,1,0.05135974131,0.1429833754,0,0.006367283031,0.5563677353,0,0.7170192895,0.664,0,0.336
31,alpha,US,,,alpha[US],500,500,1,0.6171161935,0.4035111632,0,0.865982291,0.9310473965,0,0.9598646033,0.902,0,0.098
32,mu,CN,,D1,"mu[CN,D1]",500,500,1,0.849974024,0.4455987223,0.2202952281,0.7932720234,1.798718425,-0.1865063873,2,0.994,0.006,0
33,mu,CN,,D2,"mu[CN,D2]",500,500,1,-0.3320755695,0.2894172527,-0.7741909891,-0.3471561621,0.1992314456,-1.133168241,0.6334900619,0.13,0.87,0
34,mu,CN,,D3,"mu[CN,D3]",500,500,1,1.467691905,0.275809472,1.022827001,1.468282897,1.960993344,0.6843934532,2,1,0,0
35,mu,CN,,D4,"mu[CN,D4]",500,500,1,-0.05138780748,0.2589293452,-0.5046088011,-0.02013659176,0.3166452378,-0.7752522525,0.5467294786,0.462,0.538,0
36,mu,CN,,D5,"mu[CN,D5]",500,500,1,-0.4091357964,0.1463032062,-0.6441079723,-0.3992964956,-0.1736190099,-0.947069954,-0.06093745513,0,1,0
37,mu,US,,D1,"mu[US,D1]",500,500,1,0.6835740656,0.1540724915,0.4195635402,0.688620739,0.9496804409,0.2964064265,1.16271452,1,0,0
38,mu,US,,D2,"mu[US,D2]",500,500,1,-1.172515122,0.4059643555,-1.854586249,-1.103110026,-0.5804350522,-2,-0.2488954914,0,1,0
39,mu,US,,D3,"mu[US,D3]",500,500,1,1.578400707,0.3642793204,0.8347137765,1.656579856,2,0.4337772147,2,1,0,0
40,mu,US,,D4,"mu[US,D4]",500,500,1,-1.320081236,0.4676631395,-2,-1.232152488,-0.6428261319,-2,-0.3003671156,0,1,0
41,mu,US,,D5,"mu[US,D5]",500,500,1,0.1769670841,0.1800531219,-0.08748407076,0.1579388253,0.475283607,-0.296415856,0.6993267558,0.836,0.164,0
