seed_count_a,seed_count_b,added_seed_count,CN_squared_difference_sum,US_squared_difference_sum,combined_squared_difference_sum,CN_mean_squared_difference,US_mean_squared_difference,combined_mean_squared_difference,combined_relative_reduction_vs_10,distance_to_next_count
10,369,359,100.104830898715,46.215667628763,146.320498527478,0.017331168784,0.008001327498,0.012666248141,0.0,0.004279345568
20,369,349,56.745657456981,11.39287630085,68.138533757831,0.009824386679,0.001972450883,0.005898418781,0.5343199726281125,0.00136768044
50,369,319,8.746495939366,6.843895271039,15.590391210405,0.001514282538,0.001184884915,0.001349583727,0.8934503957307243,0.000373032087
100,369,269,3.712868297089,3.390961937706,7.103830234796,0.000642809608,0.000587077898,0.000614943753,0.9514502048156266,5.1524547e-05
150,369,219,4.688275162491,3.866927610696,8.555202773188,0.000811681988,0.000669481927,0.000740581958,0.9415310714146856,3.5724153e-05
200,369,169,1.409976020667,1.88461031169,3.294586332357,0.000244109422,0.000326282949,0.000285196185,0.9774837677404381,2.0769263e-05
250,369,119,0.683092665653,0.781790555592,1.464883221245,0.000118263966,0.00013535155,0.000126807758,0.9899885304165541,1.692504e-05
300,369,69,0.281543093837,0.348142606179,0.629685700017,4.874361e-05,6.0273997e-05,5.4508804e-05,0.9956965311753558,9.223395e-06
320,369,49,0.199579744837,0.10711701689,0.306696761726,3.455328e-05,1.854519e-05,2.6549235e-05,0.997903938506142,1.1447739e-05
340,369,29,0.133715098976,0.124607951903,0.258323050879,2.3150121e-05,2.1573399e-05,2.236176e-05,0.9982345395612757,1.1906483e-05
350,369,19,0.067742861549,0.049851799992,0.117594661542,1.1728335e-05,8.630852e-06,1.0179593e-05,0.9991963213663051,5.818178e-06
360,369,9,0.045129378089,0.029906939212,0.075036317301,7.813258e-06,5.177794e-06,6.495526e-06,0.9994871783713937,6.495526e-06
369,369,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
