seed_count,replicates,CN_mean_squared_distance_to_full,CN_sd_squared_distance_to_full,US_mean_squared_distance_to_full,US_sd_squared_distance_to_full,combined_mean_squared_distance_to_full,combined_sd_squared_distance_to_full,combined_p95_squared_distance_to_full,CN_mean_element_sd,US_mean_element_sd,CN_max_element_sd,US_max_element_sd,sample_mean_matrix_matches_full_reference
10,100,54.445688000000,24.035985636490,62.393600000000,43.786201623438,116.839288000000,49.419264619956,208.841792000000,0.082933835935,0.086494905698,0.186609839835,0.169547824069,False
20,100,26.621896000000,14.200451700681,34.447116000000,25.840618965108,61.069012000000,30.158682606527,126.874432000000,0.059166833860,0.063497127459,0.125645806483,0.132172025953,False
30,100,18.955364444444,8.690371282421,20.493919111111,15.461169269360,39.449283555556,18.407591240223,68.535316444444,0.049937970423,0.049523447341,0.107046881283,0.099662730911,False
40,100,14.535220500000,8.511628659457,16.798371500000,13.691783508543,31.333592000000,16.798509793243,64.954087000000,0.043034964653,0.044518758150,0.093019969074,0.088014002559,False
50,100,10.461065600000,6.607828579062,11.836305600000,8.840233308981,22.297371200000,11.542661161992,46.541312000000,0.036805483317,0.037594477958,0.081221731679,0.074637169498,False
60,100,8.463106222222,4.279003595747,9.353895555556,5.675062553947,17.817001777778,7.219869706910,29.558744222222,0.032980267700,0.033538325504,0.069544574278,0.069198351835,False
70,100,7.598848979592,4.046897599549,8.812660571429,6.988644550099,16.411509551020,8.265931406217,30.610356081633,0.031223752052,0.032382169401,0.064637485526,0.060711102539,False
80,100,5.751426375000,3.173250542442,7.627189375000,6.259359155804,13.378615750000,6.950491519909,26.870952000000,0.027302320899,0.030080232321,0.059814923943,0.057939552923,False
90,100,4.933271604938,2.524097769917,6.189106765432,4.641747502707,11.122378370370,5.069811176974,19.309008296296,0.025398239563,0.027071148241,0.055044110462,0.053718678976,False
100,100,4.583247600000,2.360842985137,5.772436800000,4.397672818775,10.355684400000,5.195237879647,20.152650000000,0.024300897740,0.025836117255,0.052539066754,0.051087071641,False
110,100,4.247368727273,1.994763307034,4.858672264463,4.008366890117,9.106040991736,4.263980106832,17.921410181818,0.023098935120,0.024073930020,0.050055399645,0.047502004562,False
120,100,3.803922222222,1.827169003660,5.120216666667,4.434035807879,8.924138888889,4.826380475431,18.976430333333,0.022119382477,0.024424941693,0.048169276315,0.049695763515,False
130,100,3.200788781065,1.688273423689,4.299041467456,3.204296757609,7.499830248521,3.608140439238,14.941912000000,0.020343026960,0.022483193981,0.044873393245,0.043776099655,False
140,100,3.055683551020,1.504555580208,4.095920448980,3.125868547226,7.151604000000,3.513796449529,13.685187102041,0.019688310650,0.021997632654,0.044235879422,0.042893443020,False
150,100,3.005223288889,1.981104719032,3.359191288889,3.578756607340,6.364414577778,4.131750468483,14.519049777778,0.019710486391,0.019931055639,0.040533534910,0.039939123148,False
160,100,2.363292125000,1.051378065171,3.528859062500,2.903277874997,5.892151187500,3.407291918376,11.540110593750,0.017318523914,0.020468011882,0.036949398496,0.039097850166,False
170,100,2.325799252595,1.557962759332,2.564746851211,2.317212069557,4.890546103806,2.803922343958,11.522013591696,0.017278665711,0.017309050753,0.035917256044,0.033680482342,False
180,100,2.156329851852,1.075658678177,2.423100641975,1.721550464703,4.579430493827,2.023432559490,8.294733975309,0.016637051048,0.016985645791,0.034835046775,0.034654468126,False
190,100,1.865325340720,1.053645287151,2.238428232687,2.321879738545,4.103753573407,2.414047751571,8.180121196676,0.015402166872,0.016336700607,0.031839216305,0.031881020241,False
