seed,changed_positive_rate,changed_mean_probability,stay_seq_rate,stay_nash_rate,stay_gmr_rate,stay_smr_rate
20250101,1.0,0.428880219084834,0.44,0.36,0.6,0.52
20250102,1.0,0.4493787034605632,0.52,0.36,0.64,0.44
20250103,1.0,0.4442565632334016,0.56,0.32,0.64,0.36
20250104,1.0,0.4426422878200361,0.44,0.28,0.6,0.4
20250105,1.0,0.43184211650986964,0.48,0.32,0.64,0.48
20250106,1.0,0.4410933207592128,0.48,0.44,0.64,0.56
20250107,1.0,0.4321802889618482,0.48,0.32,0.6,0.44
20250108,1.0,0.5012513237797905,0.52,0.48,0.6,0.52
20250109,1.0,0.5176254841231,0.56,0.44,0.68,0.6
20250110,1.0,0.44775822134539606,0.48,0.4,0.64,0.56
20250111,1.0,0.45187529624228995,0.52,0.32,0.68,0.48
20250112,1.0,0.4140264971867493,0.48,0.32,0.64,0.48
20250113,1.0,0.433172150428137,0.52,0.44,0.6,0.56
20250114,1.0,0.5133975033115407,0.52,0.48,0.64,0.56
20250115,1.0,0.4630481785929304,0.44,0.44,0.64,0.44
20250116,1.0,0.42610859428305903,0.48,0.36,0.68,0.56
20250117,1.0,0.41974911602684,0.4,0.32,0.56,0.48
20250118,1.0,0.4137611724817949,0.52,0.28,0.6,0.48
20250119,1.0,0.4708030695079912,0.56,0.52,0.76,0.68
20250120,1.0,0.507029740599489,0.64,0.52,0.68,0.6
20250121,1.0,0.4374841848111774,0.52,0.36,0.64,0.56
20250122,1.0,0.4528910805240137,0.48,0.4,0.68,0.6
20250123,1.0,0.4493546067771989,0.56,0.36,0.64,0.48
20250124,1.0,0.4217118599779207,0.4,0.24,0.56,0.36
20250125,1.0,0.46017965497299146,0.56,0.36,0.68,0.44
20250126,1.0,0.4396065527048551,0.56,0.36,0.68,0.56
20250127,1.0,0.4315022062838043,0.52,0.32,0.68,0.44
20250128,1.0,0.4746809622604244,0.52,0.48,0.68,0.6
20250129,1.0,0.4375158106930445,0.48,0.36,0.56,0.48
20250130,1.0,0.4332809539109093,0.72,0.6,0.84,0.72
20250131,1.0,0.4306482814638804,0.56,0.4,0.72,0.52
20250132,1.0,0.41832374216053714,0.56,0.32,0.68,0.52
20250133,1.0,0.4378938887688841,0.4,0.28,0.52,0.44
20250134,1.0,0.4551114722283852,0.44,0.32,0.64,0.4
20250135,1.0,0.4959944765426613,0.48,0.44,0.64,0.52
20250136,1.0,0.4213530607420939,0.68,0.56,0.84,0.72
20250137,1.0,0.49197094699181254,0.52,0.44,0.64,0.52
20250138,1.0,0.44766259252545154,0.56,0.32,0.64,0.44
20250139,1.0,0.43142728077580395,0.48,0.36,0.64,0.52
20250140,1.0,0.426165332737137,0.52,0.36,0.6,0.4
20250141,1.0,0.49200025383091844,0.64,0.56,0.72,0.64
20250142,1.0,0.4359805962321584,0.44,0.32,0.6,0.4
