month,start_state_id,observed_state_id,observed_change,transition_explanation,observed_transition_probability,observed_raw_transition_score,observed_rank,conditional_observed_rank,predicted_state_id,predicted_score,conditional_predicted_state_id,conditional_predicted_score,transition_mechanism,pre_normalization_probability_sum,observed_path_bottleneck,stay_cn_stable_any,stay_us_stable_any,stay_constraint_satisfied,cn_utility_start,us_utility_start,cn_utility_observed,us_utility_observed,cn_then_us_raw_component,us_then_cn_raw_component
201702,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0
201703,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0
201704,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0
201705,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0
201706,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0
201707,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0
201708,1,2,1,immediate_utility_support,0.18233618233618235,0.27350427350427353,2,2.0,5,0.2735042735042735,5,0.2735042735042735,US,1.5,32.0,,,,130.0,8.0,0.0,40.0,0.0,0.0
201709,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0
201710,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0
201711,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0
201712,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0
201801,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0
201802,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0
201803,2,44,1,immediate_utility_support,0.038461538461538464,0.11538461538461539,5,5.0,5,0.3333333333333333,5,0.3333333333333333,CN-US|US-CN,3.0,16.0,,,,0.0,40.0,48.0,50.0,0.0,0.23076923076923078
201804,44,44,0,stable_status_quo,,,1,,44,1.0,60,0.6666666666666666,stay,1.5,,True,True,True,48.0,50.0,48.0,50.0,0.0,0.0
201805,44,54,1,unsupported_transition,0.0,0.0,77,77.0,60,0.6666666666666666,60,0.6666666666666666,CN-US|US-CN,1.5,-27.0,,,,48.0,50.0,158.0,31.0,0.0,0.0
201806,54,10,1,unsupported_transition,0.0,0.0,77,77.0,57,0.6666666666666666,57,0.6666666666666666,CN-US|US-CN,1.5,-21.0,,,,158.0,31.0,32.0,32.0,0.0,0.0
201807,10,10,0,stable_status_quo,,,1,,10,1.0,12,0.6666666666666666,stay,1.5,,True,True,True,32.0,32.0,32.0,32.0,0.0,0.0
201808,10,10,0,stable_status_quo,,,1,,10,1.0,12,0.6666666666666666,stay,1.5,,True,True,True,32.0,32.0,32.0,32.0,0.0,0.0
201809,10,10,0,stable_status_quo,,,1,,10,1.0,12,0.6666666666666666,stay,1.5,,True,True,True,32.0,32.0,32.0,32.0,0.0,0.0
201810,10,10,0,stable_status_quo,,,1,,10,1.0,12,0.6666666666666666,stay,1.5,,True,True,True,32.0,32.0,32.0,32.0,0.0,0.0
201811,10,10,0,stable_status_quo,,,1,,10,1.0,12,0.6666666666666666,stay,1.5,,True,True,True,32.0,32.0,32.0,32.0,0.0,0.0
201812,10,54,1,unsupported_transition,0.0,0.0,77,77.0,12,0.6666666666666666,12,0.6666666666666666,CN-US|US-CN,1.5,-11.0,,,,32.0,32.0,158.0,31.0,0.0,0.0
