month,start_state_id,observed_state_id,observed_change,transition_explanation,observed_transition_probability,observed_raw_transition_score,observed_rank,conditional_observed_rank,predicted_state_id,predicted_score,conditional_predicted_state_id,conditional_predicted_score,transition_mechanism,pre_normalization_probability_sum,observed_path_bottleneck,stay_cn_stable_any,stay_us_stable_any,stay_constraint_satisfied,cn_utility_start,us_utility_start,cn_utility_observed,us_utility_observed,cn_then_us_raw_component,us_then_cn_raw_component,dynamic_seed_count,dynamic_seq_stability_rate,dynamic_transition_probability,dynamic_transition_probability_q05,dynamic_transition_probability_q95,dynamic_positive_support_rate
201702,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0,500,0.148,,,,
201703,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0,500,0.266,,,,
201704,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0,500,0.264,,,,
201705,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0,500,0.204,,,,
201706,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0,500,0.126,,,,
201707,1,1,0,unstable_status_quo,,,1,,1,1.0,5,0.2735042735042735,stay,1.5,,True,False,False,130.0,8.0,130.0,8.0,0.0,0.0,500,0.348,,,,
201708,1,2,1,immediate_utility_support,0.1823361823361823,0.2735042735042735,2,2.0,5,0.2735042735042735,5,0.2735042735042735,US,1.5,32.0,,,,130.0,8.0,0.0,40.0,0.0,0.0,500,,0.8083830455059744,0.491553155910555,0.9120779052195278,1.0
201709,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0,500,0.532,,,,
201710,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0,500,0.094,,,,
201711,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0,500,0.006,,,,
201712,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0,500,0.446,,,,
201801,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0,500,0.0,,,,
201802,2,2,0,unstable_status_quo,,,1,,2,1.0,5,0.3333333333333333,stay,3.0,,False,True,False,0.0,40.0,0.0,40.0,0.0,0.0,500,0.008,,,,
201803,2,44,1,immediate_utility_support,0.0384615384615384,0.1153846153846153,5,5.0,5,0.3333333333333333,5,0.3333333333333333,CN-US|US-CN,3.0,16.0,,,,0.0,40.0,48.0,50.0,0.0,0.2307692307692307,500,,0.5972964182106448,0.376229694372218,0.8110952615176499,1.0
201804,44,44,0,stable_status_quo,,,1,,44,1.0,60,0.6666666666666666,stay,1.5,,True,True,True,48.0,50.0,48.0,50.0,0.0,0.0,500,0.696,,,,
201805,44,54,1,unsupported_transition,0.0,0.0,77,77.0,60,0.6666666666666666,60,0.6666666666666666,CN-US|US-CN,1.5,-27.0,,,,48.0,50.0,158.0,31.0,0.0,0.0,500,,0.2644113188677648,0.15336857586666783,0.4700489534770057,1.0
201806,54,10,1,unsupported_transition,0.0,0.0,77,77.0,57,0.6666666666666666,57,0.6666666666666666,CN-US|US-CN,1.5,-21.0,,,,158.0,31.0,32.0,32.0,0.0,0.0,500,,0.331920862651017,0.1888319954205176,0.4941738158163974,1.0
201807,10,10,0,stable_status_quo,,,1,,10,1.0,12,0.6666666666666666,stay,1.5,,True,True,True,32.0,32.0,32.0,32.0,0.0,0.0,500,0.87,,,,
201808,10,10,0,stable_status_quo,,,1,,10,1.0,12,0.6666666666666666,stay,1.5,,True,True,True,32.0,32.0,32.0,32.0,0.0,0.0,500,0.714,,,,
201809,10,10,0,stable_status_quo,,,1,,10,1.0,12,0.6666666666666666,stay,1.5,,True,True,True,32.0,32.0,32.0,32.0,0.0,0.0,500,0.958,,,,
201810,10,10,0,stable_status_quo,,,1,,10,1.0,12,0.6666666666666666,stay,1.5,,True,True,True,32.0,32.0,32.0,32.0,0.0,0.0,500,0.982,,,,
201811,10,10,0,stable_status_quo,,,1,,10,1.0,12,0.6666666666666666,stay,1.5,,True,True,True,32.0,32.0,32.0,32.0,0.0,0.0,500,1.0,,,,
201812,10,54,1,unsupported_transition,0.0,0.0,77,77.0,12,0.6666666666666666,12,0.6666666666666666,CN-US|US-CN,1.5,-11.0,,,,32.0,32.0,158.0,31.0,0.0,0.0,500,,0.24590985263953768,0.16285225999971983,0.3734366876343958,1.0
