state_id,cn_utility,us_utility,joint_stability_count,cn_stable_any,cn_nash,cn_gmr,cn_smr,cn_seq,us_stable_any,us_nash,us_gmr,us_smr,us_seq,joint_nash,joint_gmr,joint_smr,joint_seq
1,130.0,8.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2,0.0,40.0,0,False,False,False,False,False,True,False,True,True,True,False,False,False,False
3,138.0,13.0,0,True,False,True,True,True,False,False,False,False,False,False,False,False,False
4,130.0,24.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
5,0.0,56.0,0,False,False,False,False,False,True,True,True,True,True,False,False,False,False
6,138.0,29.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
7,130.0,88.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
8,0.0,120.0,0,False,False,False,False,False,True,True,True,True,True,False,False,False,False
9,138.0,93.0,2,True,False,True,True,False,True,False,True,True,True,False,True,True,False
10,32.0,32.0,3,True,True,True,True,True,True,False,True,True,True,False,True,True,True
11,136.0,5.0,0,True,False,True,True,True,False,False,False,False,False,False,False,False,False
12,32.0,48.0,0,False,False,False,False,False,True,True,True,True,True,False,False,False,False
13,136.0,21.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
14,128.0,80.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
15,32.0,112.0,0,False,False,False,False,False,True,True,True,True,True,False,False,False,False
16,136.0,85.0,2,True,False,True,True,False,True,False,True,True,True,False,True,True,False
17,130.0,8.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
18,0.0,8.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,138.0,13.0,0,True,False,True,True,True,False,False,False,False,False,False,False,False,False
20,134.0,24.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
21,4.0,24.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,142.0,29.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
23,134.0,88.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
24,4.0,88.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,142.0,93.0,2,True,False,True,True,False,True,True,True,True,True,False,True,True,False
26,32.0,0.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
27,136.0,5.0,0,True,False,True,True,True,False,False,False,False,False,False,False,False,False
28,36.0,16.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,140.0,21.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
30,132.0,80.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
31,36.0,80.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,140.0,85.0,2,True,False,True,True,False,True,True,True,True,True,False,True,True,False
33,146.0,10.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
34,16.0,42.0,0,False,False,False,False,False,True,False,True,True,True,False,False,False,False
35,154.0,15.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
36,146.0,26.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
37,16.0,58.0,0,False,False,False,False,False,True,True,True,True,True,False,False,False,False
38,154.0,31.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
39,146.0,90.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
40,16.0,122.0,0,False,False,False,False,False,True,True,True,True,True,False,False,False,False
41,154.0,95.0,2,True,False,True,True,False,True,False,True,True,True,False,True,True,False
42,48.0,34.0,3,True,True,True,True,True,True,False,True,True,True,False,True,True,True
43,152.0,7.0,0,True,False,True,True,True,False,False,False,False,False,False,False,False,False
44,48.0,50.0,2,True,False,True,True,False,True,True,True,True,True,False,True,True,False
45,152.0,23.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
46,144.0,82.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
47,48.0,114.0,0,False,False,False,False,False,True,True,True,True,True,False,False,False,False
48,152.0,87.0,2,True,False,True,True,False,True,False,True,True,True,False,True,True,False
49,146.0,10.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
50,16.0,10.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,154.0,15.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
52,150.0,26.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
53,20.0,26.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,158.0,31.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
55,150.0,90.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
56,20.0,90.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,158.0,95.0,2,True,False,True,True,False,True,True,True,True,True,False,True,True,False
58,48.0,2.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
59,152.0,7.0,0,True,False,True,True,True,False,False,False,False,False,False,False,False,False
60,52.0,18.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
61,156.0,23.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
62,148.0,82.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
63,52.0,82.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,156.0,87.0,2,True,False,True,True,False,True,True,True,True,True,False,True,True,False
65,211.0,90.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
66,81.0,122.0,0,False,False,False,False,False,True,True,True,True,True,False,False,False,False
67,219.0,95.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
68,209.0,82.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
69,113.0,114.0,0,False,False,False,False,False,True,True,True,True,True,False,False,False,False
70,217.0,87.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
71,215.0,218.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
72,85.0,218.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,223.0,223.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True
74,213.0,210.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False
75,117.0,210.0,0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
76,221.0,215.0,2,True,False,True,True,False,True,True,True,True,True,False,True,True,False
