state_id,cn_utility,us_utility,cn_rank,us_rank,cn_priority_vector,us_priority_vector,U1,U2,U3,U4,C1,C2,C3,C4
1,130.0,8.0,44,68,10000010,00001000,0,0,0,0,0,0,0,0
2,0.0,40.0,73,42,00000000,00101000,1,0,0,0,0,0,0,0
3,138.0,13.0,33,63,10001010,00001101,0,1,0,0,0,0,0,0
4,130.0,24.0,45,52,10000010,00011000,0,0,1,0,0,0,0,0
5,0.0,56.0,74,38,00000000,00111000,1,0,1,0,0,0,0,0
6,138.0,29.0,34,47,10001010,00011101,0,1,1,0,0,0,0,0
7,130.0,88.0,46,22,10000010,01011000,0,0,1,1,0,0,0,0
8,0.0,120.0,75,9,00000000,01111000,1,0,1,1,0,0,0,0
9,138.0,93.0,35,16,10001010,01011101,0,1,1,1,0,0,0,0
10,32.0,32.0,61,44,00100000,00100000,1,0,0,0,1,0,0,0
11,136.0,5.0,37,73,10001000,00000101,0,1,0,0,1,0,0,0
12,32.0,48.0,62,40,00100000,00110000,1,0,1,0,1,0,0,0
13,136.0,21.0,38,57,10001000,00010101,0,1,1,0,1,0,0,0
14,128.0,80.0,48,34,10000000,01010000,0,0,1,1,1,0,0,0
15,32.0,112.0,63,12,00100000,01110000,1,0,1,1,1,0,0,0
16,136.0,85.0,39,28,10001000,01010101,0,1,1,1,1,0,0,0
17,130.0,8.0,47,69,10000010,00001000,0,0,0,0,0,1,0,0
18,0.0,8.0,76,70,00000000,00001000,1,0,0,0,0,1,0,0
19,138.0,13.0,36,64,10001010,00001101,0,1,0,0,0,1,0,0
20,134.0,24.0,41,53,10000110,00011000,0,0,1,0,0,1,0,0
21,4.0,24.0,71,54,00000100,00011000,1,0,1,0,0,1,0,0
22,142.0,29.0,29,48,10001110,00011101,0,1,1,0,0,1,0,0
23,134.0,88.0,42,23,10000110,01011000,0,0,1,1,0,1,0,0
24,4.0,88.0,72,24,00000100,01011000,1,0,1,1,0,1,0,0
25,142.0,93.0,30,17,10001110,01011101,0,1,1,1,0,1,0,0
26,32.0,0.0,64,76,00100000,00000000,1,0,0,0,1,1,0,0
27,136.0,5.0,40,74,10001000,00000101,0,1,0,0,1,1,0,0
28,36.0,16.0,59,60,00100100,00010000,1,0,1,0,1,1,0,0
29,140.0,21.0,31,58,10001100,00010101,0,1,1,0,1,1,0,0
30,132.0,80.0,43,35,10000100,01010000,0,0,1,1,1,1,0,0
31,36.0,80.0,60,36,00100100,01010000,1,0,1,1,1,1,0,0
32,140.0,85.0,32,29,10001100,01010101,0,1,1,1,1,1,0,0
33,146.0,10.0,24,65,10010010,00001010,0,0,0,0,0,0,1,0
