GLOBALEVENTID,SQLDATE,MonthYear,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,SourceFileTimestamp,EventRootName,QuadClassName
842048481,20190501,201905,CHN,CHINESE,CHN,,,,,,,,USA,AMERICAN,USA,,,,,,,,1,193,193,19,4,-10.0,7,1,7,-3.48484848484848,1,China,CH,CH,,35.0,105.0,CH,3,"Dunbar High School, District of Columbia, United States",US,USDC,,38.9083,-77.0148,530900,1,Armenia,AM,AM,,40.0,45.0,AM,20190501001500,Fight,Material conflict
842048487,20190501,201905,CHNBUS,CHINESE,CHN,,,,,BUS,,,USA,UNITED STATES,USA,,,,,,,,1,172,172,17,4,-5.0,6,1,6,-4.28134556574924,1,China,CH,CH,,35.0,105.0,CH,1,United States,US,US,,39.828175,-98.5795,US,1,China,CH,CH,,35.0,105.0,CH,20190501001500,Coerce,Material conflict
842068929,20190501,201905,USA,THE US,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,084,084,08,2,7.0,6,1,6,3.28638497652582,1,Mexico,MX,MX,,23.0,-102.0,MX,1,China,CH,CH,,35.0,105.0,CH,4,"Roma, Lazio, Italy",IT,IT07,18350,41.9,12.4833,-126693,20190501013000,Yield,Material cooperation
842077542,20190501,201905,USAGOV,US OFFICIAL,USA,,,,,GOV,,,CHN,CHINA,CHN,,,,,,,,1,090,090,09,2,-2.0,10,1,10,-4.21940928270043,1,China,CH,CH,,35.0,105.0,CH,1,Ireland,EI,EI,,53.0,-8.0,EI,1,Ireland,EI,EI,,53.0,-8.0,EI,20190501021500,Investigate,Material cooperation
842079937,20190501,201905,USA,DALLAS,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,043,043,04,1,2.8,7,1,7,-2.56410256410257,3,"Dallas, Texas, United States",US,USTX,TX113,32.7831,-96.8067,1380944,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20190501023000,Consult,Verbal cooperation
842082282,20190501,201905,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,160,160,16,4,-4.0,6,1,6,0.589970501474924,1,United States,US,US,,39.828175,-98.5795,US,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20190501024500,Reduce relations,Material conflict
842086158,20190501,201905,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,173,173,17,4,-5.0,6,1,6,-6.66666666666667,1,China,CH,CH,,35.0,105.0,CH,3,"Alief, Texas, United States",US,USTX,TX201,29.7111,-95.5963,1329364,1,China,CH,CH,,35.0,105.0,CH,20190501031500,Coerce,Material conflict
842086159,20190501,201905,CHN,CHINESE,CHN,,,,,,,,USA,HOUSTON,USA,,,,,,,,1,173,173,17,4,-5.0,9,1,9,-6.66666666666667,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20190501031500,Coerce,Material conflict
842086162,20190501,201905,CHN,CHINESE,CHN,,,,,,,,USAMED,THE ASSOCIATED PRESS,USA,,,,,MED,,,1,164,164,16,4,-7.0,21,3,21,-2.67639902676399,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20190501031500,Reduce relations,Material conflict
842088036,20190501,201905,CHN,CHINESE,CHN,,,,,,,,USA,HOUSTON,USA,,,,,,,,1,173,173,17,4,-5.0,6,1,6,-12.9032258064516,3,"Houston, Texas, United States",US,USTX,TX201,29.7633,-95.3633,1380948,1,China,CH,CH,,35.0,105.0,CH,3,"Houston, Texas, United States",US,USTX,TX201,29.7633,-95.3633,1380948,20190501033000,Coerce,Material conflict
842089084,20190501,201905,USA,PHOENIX,USA,,,,,,,,CHN,SHANGHAI,CHN,,,,,,,,1,174,174,17,4,-5.0,10,1,10,-2.63424518743667,4,"Phuket, Phuket, Thailand",TH,TH62,26915,7.83333,98.3833,-3253342,4,"Phuket, Phuket, Thailand",TH,TH62,26915,7.83333,98.3833,-3253342,4,"Phuket, Phuket, Thailand",TH,TH62,26915,7.83333,98.3833,-3253342,20190501033000,Coerce,Material conflict
842093320,20190501,201905,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,020,020,02,1,3.0,10,1,10,0.52083333333333,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20190501040000,Appeal,Verbal cooperation
842093328,20190501,201905,USA,THE US,USA,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,100,100,10,3,-5.0,8,1,8,-2.93333333333333,1,United Kingdom,UK,UK,,54.0,-4.0,UK,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,France,FR,FR,,46.0,2.0,FR,20190501040000,Demand,Verbal conflict
842094677,20190501,201905,CHN,CHINA,CHN,,,,,,,,USA,HOUSTON,USA,,,,,,,,1,173,173,17,4,-5.0,6,1,6,-8.60655737704918,1,China,CH,CH,,35.0,105.0,CH,3,"Houston, Texas, United States",US,USTX,TX201,29.7633,-95.3633,1380948,1,China,CH,CH,,35.0,105.0,CH,20190501041500,Coerce,Material conflict
842095712,20190501,201905,USA,AMERICAN,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,090,090,09,2,-2.0,10,1,10,-1.76767676767677,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20190501041500,Investigate,Material cooperation
842106866,20190501,201905,CHN,CHINESE,CHN,,,,,,,,USA,NEW YORK CITY,USA,,,,,,,,1,120,120,12,3,-4.0,8,1,8,-2.14285714285714,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20190501054500,Reject,Verbal conflict
842108971,20190501,201905,CHN,CHINA,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,020,020,02,1,3.0,8,1,8,-3.19148936170213,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,United Kingdom,UK,UK,,54.0,-4.0,UK,1,United Kingdom,UK,UK,,54.0,-4.0,UK,20190501060000,Appeal,Verbal cooperation
842110847,20190424,201904,CHN,CHINA,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,030,030,03,1,4.0,8,1,8,-1.60183066361556,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20190501061500,Express intent to cooperate,Verbal cooperation
842110849,20190424,201904,CHN,CHINA,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,040,040,04,1,1.0,8,1,8,-1.60183066361556,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20190501061500,Consult,Verbal cooperation
842110864,20190424,201904,USA,THE US,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,030,030,03,1,4.0,8,1,8,-1.60183066361556,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20190501061500,Express intent to cooperate,Verbal cooperation
842118244,20190501,201905,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,061,061,06,2,6.4,10,1,10,0.447427293064877,1,United States,US,US,,39.828175,-98.5795,US,1,China,CH,CH,,35.0,105.0,CH,1,United States,US,US,,39.828175,-98.5795,US,20190501070000,Engage in material cooperation,Material cooperation
842125860,20190430,201904,USAGOVBUS,US TREASURY,USA,,,,,GOV,BUS,,CHN,BEIJING,CHN,,,,,,,,1,030,030,03,1,4.0,10,1,10,0.0,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20190501080000,Express intent to cooperate,Verbal cooperation
842134535,20190501,201905,CHN,CHINESE,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,040,040,04,1,1.0,8,1,8,0.85470085470086,4,"Diaoyutai, Henan, China",CH,CH09,13111,33.8072,111.925,6001729,4,"Diaoyutai, Henan, China",CH,CH09,13111,33.8072,111.925,6001729,4,"Diaoyutai, Henan, China",CH,CH09,13111,33.8072,111.925,6001729,20190501090000,Consult,Verbal cooperation
842135720,20190501,201905,USA,THE US,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,040,040,04,1,1.0,8,1,8,0.85470085470086,4,"Diaoyutai, Henan, China",CH,CH09,13111,33.8072,111.925,6001729,4,"Diaoyutai, Henan, China",CH,CH09,13111,33.8072,111.925,6001729,4,"Diaoyutai, Henan, China",CH,CH09,13111,33.8072,111.925,6001729,20190501090000,Consult,Verbal cooperation
842140808,20190501,201905,USA,PENNSYLVANIA,USA,,,,,,,,CHN,CANTON,CHN,,,,,,,,1,172,172,17,4,-5.0,8,1,8,-8.87681159420289,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20190501093000,Coerce,Material conflict
842151321,20190501,201905,CHN,CHINA,CHN,,,,,,,,USA,DENVER,USA,,,,,,,,1,042,042,04,1,1.9,9,1,8,0.0,3,"Colorado Springs, Colorado, United States",US,USCO,CO041,38.8339,-104.821,204797,3,"Colorado Springs, Colorado, United States",US,USCO,,38.8339,-104.821,204797,3,"Colorado Springs, Colorado, United States",US,USCO,,38.8339,-104.821,204797,20190501104500,Consult,Verbal cooperation
842153844,20190501,201905,CHN,CHINA,CHN,,,,,,,,USAGOV,UNITED STATES,USA,,,,,GOV,,,1,046,046,04,1,7.0,6,1,6,4.06091370558376,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458,-1924465,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458,-1924465,20190501110000,Consult,Verbal cooperation
842155246,20190501,201905,USAGOV,UNITED STATES,USA,,,,,GOV,,,CHN,CHINA,CHN,,,,,,,,1,046,046,04,1,7.0,6,1,6,4.06091370558376,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458,-1924465,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458,-1924465,20190501110000,Consult,Verbal cooperation
842156534,20190501,201905,CHN,CHINESE,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,0213,021,02,1,3.4,10,1,10,-5.61282932416953,4,"Vancouver, British Columbia, Canada",CA,CA02,12552,49.25,-123.133,-575268,4,"Vancouver, British Columbia, Canada",CA,CA02,12552,49.25,-123.133,-575268,4,"Vancouver, British Columbia, Canada",CA,CA02,12552,49.25,-123.133,-575268,20190501111500,Appeal,Verbal cooperation
842157792,20190501,201905,USA,LAS VEGAS,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,070,070,07,2,7.0,8,1,8,1.35658914728682,3,"Las Vegas, Nevada, United States",US,USNV,NV003,36.175,-115.137,847388,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20190501111500,Provide aid,Material cooperation
842184660,20190501,201905,CHN,CHINA,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,030,030,03,1,4.0,8,1,8,-0.779510022271721,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,Germany,GM,GM,,51.5,10.5,GM,20190501134500,Express intent to cooperate,Verbal cooperation
842185909,20190501,201905,USA,THE US,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,030,030,03,1,4.0,8,1,8,-0.779510022271721,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,Germany,GM,GM,,51.5,10.5,GM,20190501134500,Express intent to cooperate,Verbal cooperation
842185916,20190501,201905,USA,THE US,USA,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,100,100,10,3,-5.0,6,1,6,-4.08719346049046,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Pulwama, Jammu and Kashmir, India",IN,IN12,72814,33.8833,74.9167,-2108339,20190501134500,Demand,Verbal conflict
842185918,20190501,201905,USA,THE US,USA,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,100,100,10,3,-5.0,8,1,8,-4.95283018867925,4,"Pulwama, Jammu and Kashmir, India",IN,IN12,72814,33.8833,74.9167,-2108339,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,France,FR,FR,,46.0,2.0,FR,20190501134500,Demand,Verbal conflict
