month,source_file,input_rows,duplicate_event_ids,non_bilateral_rows,non_root_rows,unmapped_root_rows,used_rows,data_status
201701,gdelt_events_201701_bilateral.csv,2778,0,0,0,0,2778,observed
201702,gdelt_events_201702_bilateral.csv,2173,0,0,0,0,2173,observed
201703,gdelt_events_201703_bilateral.csv,2430,0,0,0,0,2430,observed
201704,gdelt_events_201704_bilateral.csv,2827,0,0,0,0,2827,observed
201705,gdelt_events_201705_bilateral.csv,2530,0,0,0,0,2530,observed
201706,gdelt_events_201706_bilateral.csv,2458,0,0,0,0,2458,observed
201707,gdelt_events_201707_bilateral.csv,2254,0,0,0,0,2254,observed
201708,gdelt_events_201708_bilateral.csv,2228,0,0,0,0,2228,observed
201709,gdelt_events_201709_bilateral.csv,1944,0,0,0,0,1944,observed
201710,gdelt_events_201710_bilateral.csv,1787,0,0,0,0,1787,observed
201711,gdelt_events_201711_bilateral.csv,2522,0,0,0,0,2522,observed
201712,gdelt_events_201712_bilateral.csv,1781,0,0,0,0,1781,observed
201801,gdelt_events_201801_bilateral.csv,1916,0,0,0,0,1916,observed
201802,gdelt_events_201802_bilateral.csv,1788,0,0,0,0,1788,observed
201803,gdelt_events_201803_bilateral.csv,2729,0,0,0,0,2729,observed
201804,gdelt_events_201804_bilateral.csv,3315,0,0,0,0,3315,observed
201805,gdelt_events_201805_bilateral.csv,3551,0,0,0,0,3551,observed
201806,gdelt_events_201806_bilateral.csv,2736,0,0,0,0,2736,observed
201807,gdelt_events_201807_bilateral.csv,3281,0,0,0,0,3281,observed
201808,gdelt_events_201808_bilateral.csv,3496,0,0,0,0,3496,observed
201809,gdelt_events_201809_bilateral.csv,3234,0,0,0,0,3234,observed
201810,gdelt_events_201810_bilateral.csv,2744,0,0,0,0,2744,observed
201811,gdelt_events_201811_bilateral.csv,2677,0,0,0,0,2677,observed
201812,gdelt_events_201812_bilateral.csv,3056,0,0,0,0,3056,observed
201901,gdelt_events_201901_bilateral.csv,3156,0,0,0,0,3156,observed
201902,gdelt_events_201902_bilateral.csv,2474,0,0,0,0,2474,observed
201903,gdelt_events_201903_bilateral.csv,2699,0,0,0,0,2699,observed
201904,gdelt_events_201904_bilateral.csv,2185,0,0,0,0,2185,observed
201905,gdelt_events_201905_bilateral.csv,4488,0,0,0,0,4488,observed
201906,gdelt_events_201906_bilateral.csv,3218,0,0,0,0,3218,observed
201907,gdelt_events_201907_bilateral.csv,2796,0,0,0,0,2796,observed
201908,gdelt_events_201908_bilateral.csv,3185,0,0,0,0,3185,observed
201909,gdelt_events_201909_bilateral.csv,2732,0,0,0,0,2732,observed
201910,gdelt_events_201910_bilateral.csv,2637,0,0,0,0,2637,observed
201911,gdelt_events_201911_bilateral.csv,2521,0,0,0,0,2521,observed
201912,gdelt_events_201912_bilateral.csv,2196,0,0,0,0,2196,observed
202001,gdelt_events_202001_bilateral.csv,4876,0,0,0,0,4876,observed
